"","Mean","SD","Naive SE","Time-series SE"
"beta[1]",-2.36338808426057,0.718765586860176,0.00718765586860176,0.0192151081735691
"beta[2]",0.613194864866975,0.195592960585309,0.00195592960585309,0.00203165812907586
"beta[3]",0.19744960939595,0.223561574319774,0.00223561574319774,0.00340824000713798
"beta[4]",0.143330222133641,0.043586370683615,0.00043586370683615,0.000900609822053513
"beta[5]",0.00349135246089786,0.0807222398410367,0.000807222398410367,0.00139129379730604
"beta[6]",0.832503539290305,0.597880455535734,0.00597880455535734,0.00857215429386709
"beta[7]",-0.0890281969360862,0.0549619252862991,0.000549619252862991,0.00130208748292069
